"id_medicamento";"termo_original";"termo_corrigido";"substancia_ativa";"nome_comercial";"alto_custo";"obtido_judicializacao"
60;colecalciferol;colecalciferol;Colecalciferol;Addera D3;false;
61;colestiramina;colestiramina;Colestiramina;Questran;false;
62;condroitina;condroitina;Condroitina;;false;
63;dabrafenibe;dabrafenibe;Dabrafenibe;Tafinlar;true;
64;dapagliflozina;dapagliflozina;Dapagliflozina;Forxiga;false;
65;denosumabe;denosumabe;Denosumabe;Prolia;true;
66;desloratadina;desloratadina;Desloratadina;Desalex;false;
67;desmopressina;desmopressina;Desmopressina;Minirin;false;
68;desvenlafaxina;desvenlafaxina;Desvenlafaxina;Pristiq;false;
69;dexametasona;dexametasona;Dexametasona;Decadron;false;
70;dexpanthenol;dexpantenol;Dexpantenol;Bepantol;false;
71;diclofenaco;diclofenaco;Diclofenaco;Voltaren;false;
72;digoxina;digoxina;Digoxina;Lanoxin;false;
73;diltiazem;diltiazem;Diltiazem;Cardizem;false;
74;dipirona;dipirona;Dipirona;Novalgina;false;
75;domperidona;domperidona;Domperidona;Motilium;false;
76;donepezila;donepezila;Donepezila;Eranz;false;
77;duloxetina;duloxetina;Duloxetina;Cymbalta;false;
78;dupilumabe;dupilumabe;Dupilumabe;Dupixent;true;
79;enalapril;enalapril;Enalapril;Renitec;false;
80;enoxaparina;enoxaparina;Enoxaparina;Clexane;true;
81;escitalopram;escitalopram;Escitalopram;Lexapro;false;
82;esomeprazol;esomeprazol;Esomeprazol;Nexium;false;
83;espironolactona;espironolactona;Espironolactona;Aldactone;false;
85;ezetimiba;ezetimiba;Ezetimiba;Ezetrol;false;
86;fenofibrato;fenofibrato;Fenofibrato;Lipanon;false;
87;fexofenadina;fexofenadina;Fexofenadina;Allegra;false;
88;filgrastim;filgrastim;Filgrastim;Neupogen;true;
89;finasterida;finasterida;Finasterida;Proscar;false;
90;fluoxetina;fluoxetina;Fluoxetina;Prozac;false;
91;fluticasona;fluticasona;Fluticasona;Flixotide;false;
92;furosemida;furosemida;Furosemida;Lasix;false;
93;gabapentina;gabapentina;Gabapentina;Neurontin;false;
94;galantamina;galantamina;Galantamina;Reminyl;false;
95;glimepirida;glimepirida;Glimepirida;Amaryl;false;
96;gliclazida;gliclazida;Gliclazida;Diamicron;false;
97;golimumabe;golimumabe;Golimumabe;Simponi;true;
98;heparina;heparina;Heparina;Liquemine;true;
99;hidralazina;hidralazina;Hidralazina;Apresolina;false;
100;hidroclorotiazida;hidroclorotiazida;Hidroclorotiazida;Clorana;false;
101;hidrocortisona;hidrocortisona;Hidrocortisona;Berlison;false;
9;adamibumabe;adalimumabe;Adalimumabe;Humira;true;true
24;bevacizumabe;bevacizumabe;Bevacizumabe;Avastin;true;true
42;cetuximabe;cetuximabe;Cetuximabe;Erbitux;true;true
102;hidroxizina;hidroxizina;Hidroxizina;Hixizine;false;
103;ibuprofeno;ibuprofeno;Ibuprofeno;Advil;false;
104;imatinibe;imatinibe;Imatinibe;Glivec;true;
105;insulina;insulina;Insulina;;true;
106;ipratropio;ipratrópio;Ipratrópio;Atrovent;false;
107;irbesartana;irbesartana;Irbesartana;Aprovel;false;
108;itraconazol;itraconazol;Itraconazol;Sporanox;false;
109;ivabradina;ivabradina;Ivabradina;Procoralan;false;
110;lamotrigina;lamotrigina;Lamotrigina;Lamictal;false;
111;lansoprazol;lansoprazol;Lansoprazol;Prazol;false;
112;latanoprosta;latanoprosta;Latanoprosta;Xalatan;false;
113;leflunomida;leflunomida;Leflunomida;Arava;true;
114;letrozol;letrozol;Letrozol;Femara;true;
115;levetiracetam;levetiracetam;Levetiracetam;Keppra;false;
116;levodopa;levodopa;Levodopa;Prolopa;false;
117;levotiroxina;levotiroxina;Levotiroxina;Puran T4;false;
118;lidocaina;lidocaína;Lidocaína;Xylocaína;false;
119;linagliptina;linagliptina;Linagliptina;Trayenta;false;
120;liraglutida;liraglutida;Liraglutida;Victoza;true;
121;loratadina;loratadina;Loratadina;Claritin;false;
122;lorazepam;lorazepam;Lorazepam;Lorax;false;
123;losartana;losartana;Losartana;Cozaar;false;
124;lurasidona;lurasidona;Lurasidona;Latuda;false;
125;memantina;memantina;Memantina;Ebix;false;
126;metformina;metformina;Metformina;Glifage;false;
128;metoprolol;metoprolol;Metoprolol;Selozok;false;
129;metotrexato;metotrexato;Metotrexato;;true;
130;midazolam;midazolam;Midazolam;Dormonid;false;
131;montelucaste;montelucaste;Montelucaste;Singulair;false;
132;mupirocina;mupirocina;Mupirocina;Bactroban;false;
133;nebivolol;nebivolol;Nebivolol;Nebilet;false;
134;nimesulida;nimesulida;Nimesulida;Nisulid;false;
135;nortriptilina;nortriptilina;Nortriptilina;Pamelor;false;
136;olanzapina;olanzapina;Olanzapina;Zyprexa;false;
137;omeprazol;omeprazol;Omeprazol;Losec;false;
138;ondansetrona;ondansetrona;Ondansetrona;Vonau;false;
139;oseltamivir;oseltamivir;Oseltamivir;Tamiflu;false;
140;oxcarbazepina;oxcarbazepina;Oxcarbazepina;Trileptal;false;
141;pantoprazol;pantoprazol;Pantoprazol;Pantozol;false;
142;paracetamol;paracetamol;Paracetamol;Tylenol;false;
143;paroxetina;paroxetina;Paroxetina;Aropax;false;
145;periciazina;periciazina;Periciazina;Neuleptil;false;
146;pioglitazona;pioglitazona;Pioglitazona;Actos;false;
147;piracetam;piracetam;Piracetam;Nootropil;false;
148;pirfenidona;pirfenidona;Pirfenidona;Esbriet;true;
149;pregabalina;pregabalina;Pregabalina;Lyrica;false;
150;propranolol;propranolol;Propranolol;Inderal;false;
152;ramipril;ramipril;Ramipril;Triatec;false;
153;ranitidina;ranitidina;Ranitidina;Antak;false;
154;risperidona;risperidona;Risperidona;Risperdal;false;
155;rivaroxabana;rivaroxabana;Rivaroxabana;Xarelto;true;
156;rosuvastatina;rosuvastatina;Rosuvastatina;Crestor;false;
157;sertralina;sertralina;Sertralina;Zoloft;false;
158;sildenafil;sildenafila;Sildenafila;Viagra;false;
159;sinvastatina;sinvastatina;Sinvastatina;Zocor;false;
160;sitagliptina;sitagliptina;Sitagliptina;Januvia;false;
161;solifenacina;solifenacina;Solifenacina;Vesicare;false;
162;somatropina;somatropina;Somatropina;Genotropin;true;
164;sotalol;sotalol;Sotalol;Sotacor;false;
165;sucralfato;sucralfato;Sucralfato;Sucrafilm;false;
166;sulfassalazina;sulfassalazina;Sulfassalazina;Azulfin;false;
170;terbinafina;terbinafina;Terbinafina;Lamisil;false;
171;testosterona;testosterona;Testosterona;Deposteron;false;
173;tizanidina;tizanidina;Tizanidina;Sirdalud;false;
174;tramadol;tramadol;Tramadol;Tramal;false;
176;trazodona;trazodona;Trazodona;Donaren;false;
177;valsartana;valsartana;Valsartana;Diovan;false;
178;varfarina;varfarina;Varfarina;Marevan;false;
179;venlafaxina;venlafaxina;Venlafaxina;Efexor;false;
180;verapamil;verapamil;Verapamil;Dilacoron;false;
181;vortioxetina;vortioxetina;Vortioxetina;Brintellix;false;
182;zolpidem;zolpidem;Zolpidem;Stilnox;false;
144;pembrolizumabe;pembrolizumabe;Pembrolizumabe;Keytruda;true;true
201;proteina c;proteína c;Proteína C;Ceprotin;true;true
8;adalimumabe;adalimumabe;Adalimumabe;Humira;true;true
84;etanercepte;etanercepte;Etanercepte;Enbrel;true;true
188;infliximabe;infliximabe;Infliximabe;Remicade;true;true
127;metilfenidato;metilfenidato;Metilfenidato;Ritalina;false;true
199;mofetila;micofenolato de mofetila;Micofenolato de Mofetila;CellCept;true;true
151;quetiapina;quetiapina;Quetiapina;Seroquel;false;true
190;ranibizumabe;ranibizumabe;Ranibizumabe;Lucentis;true;true
183;rituximabe;rituximabe;Rituximabe;MabThera;true;true
163;sorafenibe;sorafenibe;Sorafenibe;Nexavar;true;true
198;sunitinibe;sunitinibe;Sunitinibe;Sutent;true;true
202;eculizumabe;eculizumabe;Eculizumabe;Soliris;true;true
203;brentuximabe;brentuximabe;Brentuximabe Vedotina;Adcetris;true;true
169;temozolomida;temozolomida;Temozolomida;Temodal;true;true
187;teriparatida;teriparatida;Teriparatida;Forteo;true;true
172;tiotropio;tiotrópio;Tiotrópio;Spiriva;false;true
175;trastuzumabe;trastuzumabe;Trastuzumabe;Herceptin;true;true
167;tacrolimo;tacrolimo;Tacrolimo;Prograf;true;
168;tadalafila;tadalafila;Tadalafila;Cialis;false;
204;nusinersena;nusinersena;Nusinersena;Spiranza;true;true
205;ibrutinibe;ibrutinibe ;Ibrutinibe ;Imbruvica;true;true
206;miglustate;miglustate;Miglustate;Zavesca;true;true
207;riociguate;riociguate;Riociguate;Adempas;true;true
208;galsulfase;galsulfase;Galsulfase;Naglazyme;true;true
209;nintedanib;nintedanibe;Nintedanibe;Ofev;true;true
